#Types Before Cut: 11091
#Types After Cut: 9696
#Search Hits: 0
242	13	34.211	твои
243	13	34.211	учились
244	28	34.156	обычно
245	20	33.504	другому
246	17	33.200	пошла
247	15	32.618	будешь
248	15	32.618	понял
249	15	32.618	поняла
250	28	32.312	таки
251	34	32.174	голос
252	24	32.167	принципе
253	12	31.579	берег
254	12	31.579	весело
255	12	31.579	детстве
256	12	31.579	квартиру
257	12	31.579	круто
258	12	31.579	любят
259	12	31.579	поговорить
260	12	31.579	пятьдесят
261	12	31.579	смешно
262	113	31.202	даже
263	16	30.797	ходили
264	16	30.797	школа
265	16	30.797	языке
266	20	30.735	дочка
267	49	30.506	всегда
268	21	30.408	хоть
269	21	30.408	язык
270	36	30.202	две
271	14	30.119	домой
272	14	30.119	света
273	17	29.703	давайте
274	18	29.006	дом
275	11	28.948	inan
276	11	28.948	давали
277	11	28.948	девочки
278	11	28.948	девяносто
279	11	28.948	здорово
280	11	28.948	знала
281	11	28.948	кадра
282	11	28.948	классно
283	11	28.948	кхм
284	11	28.948	понимаешь
285	11	28.948	расскажу
286	11	28.948	рассказчик
287	11	28.948	смеётся
288	11	28.948	смотри
289	11	28.948	соседка
290	11	28.948	училась
291	11	28.948	холодно
292	19	28.560	младший
293	26	28.520	самое
294	26	28.520	смысле
295	15	28.408	играть
296	156	28.315	или
297	21	28.146	жить
298	13	27.631	концерт
299	13	27.631	семья
300	13	27.631	ходить
301	13	27.631	честно
302	16	27.406	видео
303	17	26.786	моей
304	18	26.407	понимаю
305	10	26.316	бывают
306	10	26.316	вкус
307	10	26.316	восемьдесят
308	10	26.316	дедушка
309	10	26.316	ехать
310	10	26.316	забыл
311	10	26.316	иии
312	10	26.316	картинка
313	10	26.316	кашель
314	10	26.316	нуу
315	10	26.316	озеро
316	10	26.316	прикольно
317	10	26.316	ребята
318	10	26.316	своё
319	10	26.316	слушай
320	10	26.316	смешок
321	10	26.316	собака
322	10	26.316	ушёл
323	19	26.195	н
324	19	26.195	слово
325	22	26.166	какую
326	22	26.166	часов
327	14	26.035	собственно
328	27	25.676	моя
329	12	25.153	вдруг
330	12	25.153	делаю
331	12	25.153	купил
332	15	25.128	ж
333	50	24.956	день
334	16	24.588	читать
335	20	24.126	места
336	18	24.125	тему
337	29	23.742	старший
338	9	23.685	n
339	9	23.685	ар
340	9	23.685	видишь
341	9	23.685	грустный
342	9	23.685	двенадцать
343	9	23.685	двести
344	9	23.685	женщина
345	9	23.685	кошки
346	9	23.685	папа
347	9	23.685	переехали
348	9	23.685	подожди
349	9	23.685	смесь
350	9	23.685	танцами
351	9	23.685	твой
352	9	23.685	учителя
